epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.55508,1.308,3.66248,1.05166,0.9978,0.03272,0.372,0.26336,1.15137,3.08831,0.98378,0.0002346,0.0002346,0.0002346
2,9.7333,1.24026,2.19287,1.03203,0.5249,0.56345,0.53799,0.34748,1.1773,1.56024,1.0002,0.000470261,0.000470261,0.000470261
3,13.9088,1.22101,1.93741,1.04732,0.65047,0.57335,0.6212,0.39185,1.14788,1.25842,1.02976,0.000703565,0.000703565,0.000703565
4,18.0303,1.1687,1.7042,1.04038,0.6417,0.64276,0.67116,0.44422,1.17312,1.15663,1.04158,0.000703397,0.000703397,0.000703397
5,22.0636,1.14971,1.57493,1.02327,0.70682,0.69528,0.75853,0.49359,1.13564,1.091,1.03653,0.000699863,0.000699863,0.000699863
6,26.2311,1.16456,1.42702,1.03889,0.74579,0.69948,0.7411,0.49072,1.08962,1.05945,1.02216,0.000696328,0.000696328,0.000696328
7,30.3038,1.11284,1.28712,1.0133,0.78437,0.73186,0.79666,0.50643,1.17102,1.0311,1.05121,0.000692794,0.000692794,0.000692794
8,34.44,1.08923,1.16948,1.00194,0.85977,0.76582,0.86412,0.5907,1.08521,0.85029,1.01508,0.00068926,0.00068926,0.00068926
9,38.4217,1.09521,1.12396,1.00305,0.81982,0.76402,0.84118,0.58005,1.05579,0.82888,0.99085,0.000685726,0.000685726,0.000685726
10,42.5003,1.08045,1.04055,0.99788,0.74064,0.74553,0.80153,0.54109,1.07431,0.97816,0.99622,0.000682191,0.000682191,0.000682191
11,46.5449,1.0814,1.00949,1.00449,0.84059,0.84811,0.88578,0.60136,1.03345,0.76032,0.99409,0.000678657,0.000678657,0.000678657
12,50.521,1.07145,0.9429,0.99424,0.84926,0.83172,0.88167,0.61382,1.01085,0.76024,0.98912,0.000675123,0.000675123,0.000675123
13,54.4889,1.03714,0.90648,0.99901,0.86975,0.77623,0.84777,0.58171,1.00696,0.84811,0.99011,0.000671588,0.000671588,0.000671588
14,58.4907,1.03804,0.89189,0.98936,0.81178,0.803,0.84517,0.56535,1.03447,0.88114,0.98467,0.000668054,0.000668054,0.000668054
15,62.5371,1.0365,0.85935,0.97418,0.87869,0.87375,0.90713,0.62668,1.01464,0.7272,0.98075,0.00066452,0.00066452,0.00066452
16,66.514,1.0017,0.81092,0.97276,0.86546,0.85722,0.8849,0.61841,1.0039,0.71866,0.96277,0.000660986,0.000660986,0.000660986
17,70.5138,1.0179,0.79406,0.96841,0.88336,0.85744,0.91369,0.63992,0.99468,0.68319,0.96226,0.000657451,0.000657451,0.000657451
18,74.5337,1.009,0.78765,0.98166,0.89473,0.86538,0.92265,0.64765,0.98317,0.68624,0.96916,0.000653917,0.000653917,0.000653917
19,78.5295,1.01017,0.78796,0.97297,0.91881,0.88118,0.92691,0.65239,0.98337,0.68435,0.96095,0.000650383,0.000650383,0.000650383
20,82.5562,0.98977,0.77679,0.96955,0.90442,0.87238,0.93266,0.65146,0.985,0.68191,0.96065,0.000646848,0.000646848,0.000646848
21,86.5807,0.98809,0.74424,0.97011,0.9033,0.89287,0.92462,0.65389,0.98152,0.66004,0.94642,0.000643314,0.000643314,0.000643314
22,90.5793,0.98134,0.74852,0.96582,0.84941,0.88406,0.88905,0.62612,0.98987,0.71268,0.95844,0.00063978,0.00063978,0.00063978
23,94.596,0.97525,0.74405,0.94738,0.87749,0.8942,0.92372,0.64583,1.00221,0.66653,0.96727,0.000636245,0.000636245,0.000636245
24,98.6156,0.98448,0.71338,0.96844,0.90535,0.86519,0.92677,0.66641,0.95831,0.63426,0.94824,0.000632711,0.000632711,0.000632711
25,102.643,0.96385,0.70385,0.95044,0.92004,0.88024,0.93167,0.66575,0.95173,0.6277,0.94312,0.000629177,0.000629177,0.000629177
26,106.659,0.9619,0.69013,0.94866,0.90092,0.88557,0.92249,0.65922,0.95345,0.63601,0.94452,0.000625642,0.000625642,0.000625642
27,110.676,0.95961,0.68233,0.9512,0.92528,0.87368,0.92687,0.65471,0.95277,0.6241,0.94982,0.000622108,0.000622108,0.000622108
28,114.707,0.95273,0.65807,0.94071,0.93286,0.88008,0.93521,0.6829,0.9249,0.60315,0.93768,0.000618574,0.000618574,0.000618574
29,118.769,0.9455,0.66207,0.94433,0.90652,0.8838,0.92862,0.6671,0.93229,0.61811,0.94913,0.00061504,0.00061504,0.00061504
30,122.783,0.95038,0.65578,0.94591,0.88962,0.88388,0.92764,0.64437,0.95399,0.62395,0.94187,0.000611505,0.000611505,0.000611505
31,126.783,0.94307,0.62693,0.94387,0.9261,0.89469,0.93455,0.66896,0.93374,0.58844,0.94116,0.000607971,0.000607971,0.000607971
32,130.777,0.93764,0.64065,0.94067,0.93332,0.86227,0.92808,0.66509,0.92634,0.606,0.93144,0.000604437,0.000604437,0.000604437
33,134.836,0.93373,0.63749,0.95353,0.91829,0.91785,0.94097,0.67773,0.93916,0.59524,0.93312,0.000600902,0.000600902,0.000600902
34,138.813,0.93202,0.62298,0.93139,0.94633,0.8999,0.94477,0.68061,0.94068,0.58329,0.94517,0.000597368,0.000597368,0.000597368
35,142.831,0.92364,0.62064,0.94359,0.92851,0.89978,0.9353,0.67772,0.92673,0.58523,0.93634,0.000593834,0.000593834,0.000593834
36,146.903,0.91762,0.61667,0.93077,0.93689,0.8956,0.93362,0.68051,0.90352,0.58217,0.92511,0.0005903,0.0005903,0.0005903
37,150.882,0.90994,0.61314,0.94116,0.94559,0.87097,0.93449,0.67847,0.92823,0.58566,0.94316,0.000586765,0.000586765,0.000586765
38,154.897,0.90673,0.60974,0.93535,0.93566,0.88097,0.92601,0.6671,0.92656,0.59377,0.94164,0.000583231,0.000583231,0.000583231
39,158.925,0.88863,0.5992,0.92227,0.92338,0.90117,0.94128,0.66748,0.93034,0.58818,0.94724,0.000579697,0.000579697,0.000579697
40,162.901,0.91314,0.59708,0.93098,0.93719,0.89227,0.93738,0.67875,0.91741,0.56843,0.9417,0.000576162,0.000576162,0.000576162
41,166.946,0.87914,0.57897,0.92232,0.89704,0.88497,0.91123,0.64908,0.92427,0.62639,0.93879,0.000572628,0.000572628,0.000572628
42,170.928,0.90147,0.58785,0.9276,0.9344,0.90533,0.94018,0.69675,0.91152,0.55731,0.93949,0.000569094,0.000569094,0.000569094
43,174.964,0.88563,0.58628,0.92667,0.8996,0.92036,0.94369,0.68376,0.92217,0.58255,0.93502,0.000565559,0.000565559,0.000565559
44,179.06,0.89587,0.57916,0.93142,0.90749,0.91768,0.93923,0.67599,0.95175,0.57497,0.94653,0.000562025,0.000562025,0.000562025
45,183.084,0.89076,0.58093,0.92538,0.94625,0.89579,0.93936,0.68147,0.93479,0.56149,0.9326,0.000558491,0.000558491,0.000558491
46,187.119,0.8871,0.57401,0.92429,0.93265,0.91637,0.94609,0.68757,0.92455,0.5473,0.94164,0.000554956,0.000554956,0.000554956
47,191.232,0.87286,0.56067,0.92322,0.94838,0.90572,0.95001,0.69311,0.89503,0.54403,0.93164,0.000551422,0.000551422,0.000551422
48,195.416,0.87851,0.56716,0.92191,0.91993,0.89851,0.93348,0.68191,0.90144,0.54675,0.93132,0.000547888,0.000547888,0.000547888
49,199.595,0.8607,0.55086,0.91392,0.94093,0.90024,0.93595,0.69007,0.89975,0.53404,0.92957,0.000544354,0.000544354,0.000544354
50,203.742,0.84746,0.53913,0.90962,0.90569,0.91071,0.93294,0.69471,0.89012,0.53394,0.92761,0.000540819,0.000540819,0.000540819
51,207.886,0.86928,0.55365,0.92199,0.94706,0.93432,0.94995,0.69846,0.90667,0.52922,0.93275,0.000537285,0.000537285,0.000537285
52,212.025,0.8713,0.55332,0.91903,0.9308,0.91202,0.94548,0.68516,0.9289,0.55487,0.93819,0.000533751,0.000533751,0.000533751
53,216.237,0.84948,0.54726,0.90991,0.94131,0.90194,0.93205,0.67661,0.89123,0.55079,0.92884,0.000530216,0.000530216,0.000530216
54,220.479,0.83279,0.52793,0.90784,0.90301,0.9235,0.94337,0.68908,0.91231,0.52591,0.93113,0.000526682,0.000526682,0.000526682
55,224.633,0.87163,0.55541,0.91843,0.9483,0.90929,0.94783,0.69915,0.89988,0.53888,0.92301,0.000523148,0.000523148,0.000523148
56,228.844,0.83612,0.53917,0.90814,0.93555,0.89031,0.93641,0.67601,0.91608,0.53738,0.9397,0.000519613,0.000519613,0.000519613
57,233.092,0.84855,0.53362,0.91653,0.92806,0.91245,0.9363,0.6914,0.90863,0.52658,0.93602,0.000516079,0.000516079,0.000516079
58,237.302,0.84373,0.52582,0.91238,0.92949,0.91704,0.93611,0.68465,0.91984,0.53305,0.94504,0.000512545,0.000512545,0.000512545
59,241.501,0.83803,0.54284,0.9104,0.9441,0.88325,0.9357,0.67603,0.9461,0.54414,0.93457,0.000509011,0.000509011,0.000509011
60,245.717,0.82205,0.51519,0.90296,0.92278,0.91293,0.94626,0.69144,0.91601,0.51674,0.93393,0.000505476,0.000505476,0.000505476
61,249.972,0.84061,0.52053,0.90484,0.91847,0.92632,0.93656,0.69232,0.89283,0.51499,0.93115,0.000501942,0.000501942,0.000501942
62,254.155,0.83226,0.50483,0.90688,0.95131,0.90835,0.94413,0.6937,0.89551,0.51567,0.9204,0.000498408,0.000498408,0.000498408
63,258.41,0.84155,0.51571,0.90413,0.91885,0.9222,0.94317,0.69392,0.90099,0.53921,0.92836,0.000494873,0.000494873,0.000494873
64,262.623,0.81688,0.51162,0.90105,0.9518,0.91522,0.93821,0.69246,0.87782,0.52778,0.92456,0.000491339,0.000491339,0.000491339
65,266.876,0.84011,0.51883,0.90567,0.95264,0.9045,0.94566,0.69419,0.88803,0.52598,0.91831,0.000487805,0.000487805,0.000487805
66,271.09,0.82295,0.50457,0.90568,0.95063,0.89751,0.9498,0.70506,0.8883,0.52047,0.92506,0.000484271,0.000484271,0.000484271
67,275.284,0.82246,0.52502,0.90099,0.93708,0.91277,0.94397,0.70021,0.89276,0.51695,0.92572,0.000480736,0.000480736,0.000480736
68,279.454,0.81855,0.50764,0.9006,0.93524,0.90974,0.94586,0.69644,0.86351,0.51083,0.90873,0.000477202,0.000477202,0.000477202
69,283.651,0.79667,0.48485,0.89096,0.91534,0.92343,0.94582,0.69416,0.87741,0.52609,0.91192,0.000473668,0.000473668,0.000473668
70,287.853,0.84725,0.51025,0.9038,0.95637,0.92214,0.95081,0.69587,0.88359,0.50248,0.92076,0.000470133,0.000470133,0.000470133
71,292.023,0.81567,0.50275,0.90482,0.95177,0.92135,0.95142,0.70631,0.87441,0.4925,0.92164,0.000466599,0.000466599,0.000466599
72,296.217,0.80609,0.50029,0.89462,0.96075,0.90035,0.94346,0.70695,0.88346,0.4939,0.92072,0.000463065,0.000463065,0.000463065
73,300.441,0.80863,0.49804,0.89716,0.93595,0.91882,0.94763,0.70157,0.86574,0.49798,0.91477,0.00045953,0.00045953,0.00045953
74,304.706,0.79107,0.48921,0.89087,0.91891,0.93152,0.95448,0.71357,0.86833,0.48722,0.90742,0.000455996,0.000455996,0.000455996
75,309.011,0.81578,0.49516,0.89746,0.94677,0.91866,0.94955,0.6967,0.86733,0.49997,0.91771,0.000452462,0.000452462,0.000452462
76,313.226,0.80788,0.48651,0.89487,0.9448,0.91145,0.94839,0.70978,0.86261,0.48657,0.92168,0.000448928,0.000448928,0.000448928
77,317.466,0.80081,0.48954,0.90451,0.93446,0.9403,0.95843,0.71202,0.87344,0.50257,0.91979,0.000445393,0.000445393,0.000445393
78,321.711,0.80512,0.48634,0.89688,0.93133,0.92379,0.95329,0.70818,0.87674,0.49543,0.92893,0.000441859,0.000441859,0.000441859
79,325.944,0.79691,0.48323,0.89004,0.93138,0.92805,0.94964,0.70354,0.8706,0.50159,0.92652,0.000438325,0.000438325,0.000438325
80,330.175,0.78902,0.47874,0.89084,0.93288,0.9329,0.95359,0.70726,0.8654,0.48594,0.91726,0.00043479,0.00043479,0.00043479
81,334.452,0.77978,0.49003,0.8953,0.93284,0.92346,0.95221,0.71105,0.86296,0.48187,0.91433,0.000431256,0.000431256,0.000431256
82,338.661,0.79722,0.49334,0.89648,0.93355,0.91823,0.95305,0.70713,0.87328,0.49071,0.91137,0.000427722,0.000427722,0.000427722
83,342.876,0.789,0.47336,0.89549,0.94123,0.91955,0.95191,0.70811,0.86273,0.49226,0.91309,0.000424187,0.000424187,0.000424187
84,347.131,0.77833,0.47097,0.893,0.93743,0.92213,0.94961,0.71153,0.85056,0.483,0.9133,0.000420653,0.000420653,0.000420653
85,351.359,0.77361,0.47733,0.8835,0.93145,0.91437,0.94995,0.71347,0.8539,0.48595,0.91308,0.000417119,0.000417119,0.000417119
86,355.533,0.76572,0.47629,0.8822,0.93848,0.92051,0.95307,0.71893,0.86698,0.48875,0.92115,0.000413584,0.000413584,0.000413584
87,359.758,0.78296,0.4773,0.89701,0.94595,0.90247,0.95579,0.70717,0.89753,0.4917,0.92127,0.00041005,0.00041005,0.00041005
88,363.964,0.76065,0.46516,0.88322,0.94798,0.91831,0.95937,0.7265,0.84889,0.46829,0.91687,0.000406516,0.000406516,0.000406516
89,368.221,0.77781,0.47575,0.88328,0.93992,0.9194,0.95752,0.71703,0.8551,0.48425,0.90893,0.000402982,0.000402982,0.000402982
90,372.44,0.75845,0.45984,0.88553,0.9251,0.92145,0.95022,0.71539,0.86411,0.48734,0.92413,0.000399447,0.000399447,0.000399447
91,376.757,0.76281,0.46133,0.88592,0.95175,0.91248,0.95435,0.71549,0.85479,0.47443,0.91526,0.000395913,0.000395913,0.000395913
92,381.015,0.75718,0.45641,0.88472,0.9313,0.91695,0.94855,0.7089,0.86855,0.47705,0.91991,0.000392379,0.000392379,0.000392379
93,385.253,0.75414,0.46549,0.88682,0.92953,0.91673,0.94968,0.71307,0.8428,0.47432,0.91635,0.000388844,0.000388844,0.000388844
94,389.515,0.77662,0.47234,0.89035,0.93448,0.91137,0.94924,0.70902,0.86111,0.47825,0.92522,0.00038531,0.00038531,0.00038531
95,393.733,0.75985,0.46335,0.88539,0.94962,0.92547,0.95319,0.70958,0.85511,0.47582,0.91612,0.000381776,0.000381776,0.000381776
96,397.955,0.76059,0.45749,0.89016,0.94804,0.90711,0.9513,0.7127,0.85498,0.46136,0.91031,0.000378242,0.000378242,0.000378242
97,402.174,0.76503,0.45629,0.88115,0.94319,0.93174,0.95319,0.70473,0.87098,0.47819,0.91826,0.000374707,0.000374707,0.000374707
98,406.406,0.74383,0.44405,0.87274,0.9184,0.93924,0.95418,0.71144,0.86256,0.47756,0.91621,0.000371173,0.000371173,0.000371173
99,410.646,0.76917,0.46139,0.88414,0.94128,0.91251,0.9496,0.70637,0.87832,0.48934,0.92648,0.000367639,0.000367639,0.000367639
